episode,total_reward,length,success,wall_hits
216,-11.17999999999996,200,0,102
217,-10.729999999999963,200,0,97
218,-11.179999999999962,200,0,102
219,-10.639999999999963,200,0,96
220,-10.729999999999965,200,0,97
221,-9.129999999999967,186,1,92
222,-8.809999999999967,199,1,87
223,-10.369999999999964,200,0,93
224,-11.35999999999996,200,0,104
225,-10.279999999999964,200,0,92
226,-11.989999999999961,200,0,111
227,-9.739999999999963,200,0,86
228,-9.559999999999965,200,0,84
229,-10.099999999999966,200,0,90
230,-10.099999999999962,200,0,90
231,-10.819999999999965,200,0,98
232,-5.2099999999999875,109,1,57
233,-11.719999999999962,200,0,108
234,-10.189999999999966,200,0,91
235,-9.919999999999964,200,0,88
236,-9.739999999999965,200,0,86
237,-10.639999999999963,200,0,96
238,-10.999999999999963,200,0,100
239,-9.649999999999967,200,0,85
240,-10.909999999999963,200,0,99
241,-10.279999999999962,200,0,92
242,-10.369999999999965,200,0,93
243,-10.279999999999966,200,0,92
244,-10.459999999999964,200,0,94
245,-10.369999999999964,200,0,93
246,-8.289999999999967,192,1,82
247,-10.279999999999966,200,0,92
248,-9.649999999999965,200,0,85
249,-10.549999999999963,200,0,95
250,-10.639999999999963,200,0,96
251,-11.719999999999962,200,0,108
252,-11.269999999999964,200,0,103
253,-10.999999999999963,200,0,100
254,-11.269999999999962,200,0,103
255,-9.739999999999965,200,0,86
256,-10.099999999999966,200,0,90
257,-10.459999999999964,200,0,94
258,-10.639999999999961,200,0,96
259,-9.559999999999967,200,0,84
260,-10.639999999999963,200,0,96
261,-6.749999999999979,146,1,70
262,-10.999999999999961,200,0,100
263,-10.279999999999962,200,0,92
264,-6.509999999999981,131,1,69
265,-10.999999999999963,200,0,100
266,-3.4699999999999935,97,1,39
267,-7.629999999999972,162,1,78
268,-11.80999999999996,200,0,109
269,-10.009999999999966,200,0,89
270,-10.279999999999962,200,0,92
271,-10.189999999999964,200,0,91
272,-10.099999999999964,200,0,90
273,-11.539999999999964,200,0,106
274,-9.919999999999964,200,0,88
275,-11.989999999999961,200,0,111
276,-10.369999999999964,200,0,93
277,-10.369999999999964,200,0,93
278,-10.639999999999963,200,0,96
279,-9.829999999999965,200,0,87
280,-12.34999999999996,200,0,115
281,-10.999999999999961,200,0,100
282,-11.809999999999961,200,0,109
283,-10.639999999999961,200,0,96
284,-11.80999999999996,200,0,109
285,-9.379999999999967,200,0,82
286,-11.359999999999964,200,0,104
287,-9.739999999999966,200,0,86
288,-11.629999999999962,200,0,107
